percent_with_internet_subscription,education_25_older_bachelor's_degree,household_median_income,percent_with_disability,total_moved_to_US_from_abroad,Percent_Very_Religious,Percent_Nonreligious,mass_shootings,believes_climate_change,senate_polarization
64.72150783,14.8,42849,15.9,14928,57,15,1,63.45,0.92944676
79.88212101,18.2,72237,11.1,7081,38,35,0,69.588,0.88021364
74.84164713,17.1,48510,12.3,44711,36,35,1,68.827,1.43966134
62.30230243,13.4,40511,17.1,9377,51,19,0,64.12,0.55458944
78.75067823,19.5,60190,10.6,291448,34,37,4,75.241,1.53893689
80.49440783,23.8,58823,10.8,34306,35,39,0,71.004,1.79691102
78.18458645,20.6,67098,10.7,21292,32,41,0,71.904,0.81098378
75.37182478,17.2,57846,12.6,4594,36,32,0,70.691,0.62052402
75.20442111,17.6,46036,13.4,174173,42,30,1,70.047,0.92685556
73.00568232,17.8,47829,12.4,55537,52,18,0,67.744,0.93847562
79.60255043,20.8,68020,11.2,15685,32,36,0,78.49,0.50950769
74.88789085,18,46783,13.1,8351,47,29,0,64.889,0.89574742
74.95744155,19.8,56210,11.1,68965,39,31,1,72.649,0.68340151
71.0869178,15.2,47529,13.9,23763,46,28,0,64.138,0.62477562
73.52211479,18.1,52229,11.7,12526,43,30,0,66.872,0.99568823
73.97392005,20,50972,12.4,15200,47,27,0,65.328,0.80332043
65.71557198,14.9,44164,15,16210,56,15,0,65.452,0.50685567
74.20511023,18.1,46974,16.3,4377,27,45,0,69.178,1.00902834
79.88638466,20.3,72483,10.7,45537,39,32,0,75.139,1.01758046
71.96974481,16.4,48273,14.4,49014,41,31,0,68.353,1.07663144
58.68119398,12.9,37963,16.7,6817,61,10,0,65.657,0.92635173
71.03514269,16.9,46931,14.4,18771,44,25,0,66.107,0.91974019
73.78583665,19.7,46972,14,5297,38,35,0,66.106,1.12449219
76.49213871,15.1,51230,12.9,16572,32,41,1,70.286,0.81012592
81.74044672,21.9,64230,12.7,6328,24,51,0,68.292,1.13119897
79.80966828,22.6,70165,10.6,57965,36,33,0,75.11,0.55873265
65.64584005,15,43872,15.2,13404,41,29,1,70.893,1.14761518
76.05224067,19.3,57369,11.2,146945,34,37,1,77.018,1.01591344
71.83458062,18.4,45906,13.8,51451,50,19,0,68.932,0.85241822
73.62737933,20,55759,10.6,3275,46,22,0,62.19,0.55240117
72.3985239,16.4,48081,13.6,46663,41,28,0,66.772,0.98822395
67.74729371,16.1,45690,15.8,15528,49,20,1,63.127,0.58563611
78.77055963,19.3,50251,14.7,18090,31,43,0,72.137,1.20246147
73.67667741,17.5,52007,13.4,60898,41,30,1,68.996,0.82607846
76.92449664,19.8,55902,12.7,7656,34,37,0,71.347,0.33559936
67.6764593,16.6,44163,14.5,17187,54,18,0,66.856,1.02982666
72.63145507,18.9,48947,13.1,2289,46,22,0,65.227,0.51465225
68.09367256,15.6,44297,15.4,24228,54,17,0,64.144,0.6985112
72.7862693,18.3,51704,11.7,185368,48,21,1,68.907,1.31500159
80.62414186,20.9,59770,9.5,18191,60,26,0,63.071,0.80912191
77.01848883,21.4,52578,13.8,2390,24,56,0,72.692,0.69096735
76.97537488,21.1,62666,11.3,60331,44,25,0,71.148,1.10829701
79.98621319,20.9,58405,13,52267,32,41,1,72.632,1.30832263
66.15826376,11.3,41253,20.2,2958,42,35,0,60.476,0.55838493
74.44361551,18.4,51467,12.1,18918,38,31,0,68.125,1.10716697
76.65075914,17.8,58752,11.9,1933,36,39,0,60.921,0.54597196
63.5,14.7,42830,16.3,13279,46,29,0,63.45,0.92944676
79,18.4,71583,11.2,4090,26,57,0,69.588,0.88021364
23.9,17.3,50068,12.8,48864,33,48,0,68.827,1.47128253
60.9,13.8,41262,16.9,9106,45,32,0,64.12,0.54546518
77.9,20,61933,10.6,318021,28,51,3,75.241,1.66575076
79.4,24.1,61303,10.7,33518,25,55,0,71.004,1.72701386
77.5,21.3,70048,11,30183,25,54,0,71.904,0.79130673
74.5,18.3,59716,11.9,4453,35,46,0,70.691,0.62052402
74.3,17.4,47463,13.4,195805,32,45,1,70.047,0.92685556
